"","acquisition_date","acquisitions"
"477","1971-04-22",44
"478","1971-04-23",34
"479","1971-04-24",44
"480","1971-04-25",47
"481","1971-04-26",39
"482","1971-04-27",40
"483","1971-04-28",45
"484","1971-04-29",37
"485","1971-04-30",48
"486","1971-05-01",42
"487","1971-05-02",47
"488","1971-05-03",43
"489","1971-05-04",33
"490","1971-05-05",26
"491","1971-05-06",41
"492","1971-05-07",29
"493","1971-05-08",40
"494","1971-05-09",34
"495","1971-05-10",44
"496","1971-05-11",30
"497","1971-05-12",43
"498","1971-05-13",27
"499","1971-05-14",44
"500","1971-05-15",45
"501","1971-05-16",38
"502","1971-05-17",45
"503","1971-05-18",51
"504","1971-05-19",42
"505","1971-05-20",35
"506","1971-05-21",35
"507","1971-05-22",39
"508","1971-05-23",41
"509","1971-05-24",45
"510","1971-05-25",34
"511","1971-05-26",42
"512","1971-05-27",38
"513","1971-05-28",47
"514","1971-05-29",39
"515","1971-05-30",39
"516","1971-05-31",37
"517","1971-06-01",39
"518","1971-06-02",47
"519","1971-06-03",32
"520","1971-06-04",37
"521","1971-06-05",29
"522","1971-06-06",26
"523","1971-06-07",36
"524","1971-06-08",38
"525","1971-06-09",38
"526","1971-06-10",37
"527","1971-06-11",47
"528","1971-06-12",27
"529","1971-06-13",36
"530","1971-06-14",52
"531","1971-06-15",24
"532","1971-06-16",36
"533","1971-06-17",45
"534","1971-06-18",38
"535","1971-06-19",40
"536","1971-06-20",33
"537","1971-06-21",40
"538","1971-06-22",37
"539","1971-06-23",29
"540","1971-06-24",27
"541","1971-06-25",38
"542","1971-06-26",42
"543","1971-06-27",38
"544","1971-06-28",43
"545","1971-06-29",29
"546","1971-06-30",47
"547","1971-07-01",33
"548","1971-07-02",38
"549","1971-07-03",25
"550","1971-07-04",44
"551","1971-07-05",29
"552","1971-07-06",34
"553","1971-07-07",39
"554","1971-07-08",36
"555","1971-07-09",48
"556","1971-07-10",36
"557","1971-07-11",44
"558","1971-07-12",39
"559","1971-07-13",40
"560","1971-07-14",39
"561","1971-07-15",29
"562","1971-07-16",38
"563","1971-07-17",35
"564","1971-07-18",45
"565","1971-07-19",36
"566","1971-07-20",33
"567","1971-07-21",32
"568","1971-07-22",44
"569","1971-07-23",39
"570","1971-07-24",43
"571","1971-07-25",45
"572","1971-07-26",46
"573","1971-07-27",37
"574","1971-07-28",40
"575","1971-07-29",36
"576","1971-07-30",44
"577","1971-07-31",35
"578","1971-08-01",37
"579","1971-08-02",38
"580","1971-08-03",32
"581","1971-08-04",35
"582","1971-08-05",24
"583","1971-08-06",27
"584","1971-08-07",37
"585","1971-08-08",39
"586","1971-08-09",26
"587","1971-08-10",49
"588","1971-08-11",39
"589","1971-08-12",27
"590","1971-08-13",34
"591","1971-08-14",35
"592","1971-08-15",35
"593","1971-08-16",41
"594","1971-08-17",30
"595","1971-08-18",30
"596","1971-08-19",40
"597","1971-08-20",30
"598","1971-08-21",49
"599","1971-08-22",40
"600","1971-08-23",39
"601","1971-08-24",31
"602","1971-08-25",38
"603","1971-08-26",28
"604","1971-08-27",36
"605","1971-08-28",30
"606","1971-08-29",49
"607","1971-08-30",37
"608","1971-08-31",25
"609","1971-09-01",38
"610","1971-09-02",29
"611","1971-09-03",35
"612","1971-09-04",37
"613","1971-09-05",40
"614","1971-09-06",48
"615","1971-09-07",36
"616","1971-09-08",37
"617","1971-09-09",43
"618","1971-09-10",33
"619","1971-09-11",26
"620","1971-09-12",42
"621","1971-09-13",27
"622","1971-09-14",38
"623","1971-09-15",51
"624","1971-09-16",37
"625","1971-09-17",29
"626","1971-09-18",38
"627","1971-09-19",35
"628","1971-09-20",27
"629","1971-09-21",30
"630","1971-09-22",42
"631","1971-09-23",29
"632","1971-09-24",49
"633","1971-09-25",44
"634","1971-09-26",34
"635","1971-09-27",40
"636","1971-09-28",32
"637","1971-09-29",46
"638","1971-09-30",49
"639","1971-10-01",51
"640","1971-10-02",42
"641","1971-10-03",33
"642","1971-10-04",43
"643","1971-10-05",33
"644","1971-10-06",48
"645","1971-10-07",36
"646","1971-10-08",41
"647","1971-10-09",45
"648","1971-10-10",48
"649","1971-10-11",35
"650","1971-10-12",32
"651","1971-10-13",29
"652","1971-10-14",43
"653","1971-10-15",42
"654","1971-10-16",43
"655","1971-10-17",39
"656","1971-10-18",38
"657","1971-10-19",41
"658","1971-10-20",36
"659","1971-10-21",32
"660","1971-10-22",42
"661","1971-10-23",33
"662","1971-10-24",43
"663","1971-10-25",40
"664","1971-10-26",42
"665","1971-10-27",37
"666","1971-10-28",49
"667","1971-10-29",38
"668","1971-10-30",32
"669","1971-10-31",37
"670","1971-11-01",32
"671","1971-11-02",34
"672","1971-11-03",42
"673","1971-11-04",39
"674","1971-11-05",46
"675","1971-11-06",42
"676","1971-11-07",37
"677","1971-11-08",38
"678","1971-11-09",33
"679","1971-11-10",36
"680","1971-11-11",33
"681","1971-11-12",43
"682","1971-11-13",40
"683","1971-11-14",30
"684","1971-11-15",50
"685","1971-11-16",40
"686","1971-11-17",38
"687","1971-11-18",36
"688","1971-11-19",35
"689","1971-11-20",33
"690","1971-11-21",38
"691","1971-11-22",46
"692","1971-11-23",50
"693","1971-11-24",53
"694","1971-11-25",36
"695","1971-11-26",36
"696","1971-11-27",43
"697","1971-11-28",44
"698","1971-11-29",40
"699","1971-11-30",48
"700","1971-12-01",42
"701","1971-12-02",39
"702","1971-12-03",36
"703","1971-12-04",35
"704","1971-12-05",32
"705","1971-12-06",32
"706","1971-12-07",35
"707","1971-12-08",35
"708","1971-12-09",44
"709","1971-12-10",23
"710","1971-12-11",48
"711","1971-12-12",31
"712","1971-12-13",30
"713","1971-12-14",37
"714","1971-12-15",42
"715","1971-12-16",34
"716","1971-12-17",38
"717","1971-12-18",45
"718","1971-12-19",40
"719","1971-12-20",47
"720","1971-12-21",35
"721","1971-12-22",34
"722","1971-12-23",27
"723","1971-12-24",43
"724","1971-12-25",31
"725","1971-12-26",39
"726","1971-12-27",28
"727","1971-12-28",40
"728","1971-12-29",36
"729","1971-12-30",31
"730","1971-12-31",44
"731","1972-01-01",42
"732","1972-01-02",39
"733","1972-01-03",33
"734","1972-01-04",29
"735","1972-01-05",49
"736","1972-01-06",29
"737","1972-01-07",38
"738","1972-01-08",41
"739","1972-01-09",39
"740","1972-01-10",39
"741","1972-01-11",39
"742","1972-01-12",36
"743","1972-01-13",40
"744","1972-01-14",41
"745","1972-01-15",42
"746","1972-01-16",22
"747","1972-01-17",46
"748","1972-01-18",33
"749","1972-01-19",57
"750","1972-01-20",38
"751","1972-01-21",42
"752","1972-01-22",35
"753","1972-01-23",33
"754","1972-01-24",39
"755","1972-01-25",44
"756","1972-01-26",32
"757","1972-01-27",36
"758","1972-01-28",38
"759","1972-01-29",32
"760","1972-01-30",29
"761","1972-01-31",39
"762","1972-02-01",33
"763","1972-02-02",39
"764","1972-02-03",38
"765","1972-02-04",37
"766","1972-02-05",33
"767","1972-02-06",36
"768","1972-02-07",40
"769","1972-02-08",41
"770","1972-02-09",49
"771","1972-02-10",46
"772","1972-02-11",32
"773","1972-02-12",43
"774","1972-02-13",32
"775","1972-02-14",43
"776","1972-02-15",38
"777","1972-02-16",42
"778","1972-02-17",35
"779","1972-02-18",35
"780","1972-02-19",32
"781","1972-02-20",30
"782","1972-02-21",37
"783","1972-02-22",37
"784","1972-02-23",44
"785","1972-02-24",51
"786","1972-02-25",28
"787","1972-02-26",36
"788","1972-02-27",24
"789","1972-02-28",25
"790","1972-02-29",43
"791","1972-03-01",39
"792","1972-03-02",38
"793","1972-03-03",47
"794","1972-03-04",31
"795","1972-03-05",50
"796","1972-03-06",46
"797","1972-03-07",30
"798","1972-03-08",25
"799","1972-03-09",38
"800","1972-03-10",35
"801","1972-03-11",32
"802","1972-03-12",30
"803","1972-03-13",35
"804","1972-03-14",35
"805","1972-03-15",45
"806","1972-03-16",38
"807","1972-03-17",24
"808","1972-03-18",34
"809","1972-03-19",39
"810","1972-03-20",34
"811","1972-03-21",36
"812","1972-03-22",42
"813","1972-03-23",35
"814","1972-03-24",39
"815","1972-03-25",34
"816","1972-03-26",38
"817","1972-03-27",44
"818","1972-03-28",48
"819","1972-03-29",37
"820","1972-03-30",28
"821","1972-03-31",40
"822","1972-04-01",33
"823","1972-04-02",40
"824","1972-04-03",33
"825","1972-04-04",42
"826","1972-04-05",34
"827","1972-04-06",46
"828","1972-04-07",40
"829","1972-04-08",46
"830","1972-04-09",43
"831","1972-04-10",48
"832","1972-04-11",37
"833","1972-04-12",37
"834","1972-04-13",29
"835","1972-04-14",34
"836","1972-04-15",44
"837","1972-04-16",38
"838","1972-04-17",35
"839","1972-04-18",46
"840","1972-04-19",40
"841","1972-04-20",37
"842","1972-04-21",33
"843","1972-04-22",41
"844","1972-04-23",48
"845","1972-04-24",22
"846","1972-04-25",48
"847","1972-04-26",38
"848","1972-04-27",33
"849","1972-04-28",39
"850","1972-04-29",42
"851","1972-04-30",44
"852","1972-05-01",32
"853","1972-05-02",36
"854","1972-05-03",33
"855","1972-05-04",42
"856","1972-05-05",39
"857","1972-05-06",29
"858","1972-05-07",43
"859","1972-05-08",34
"860","1972-05-09",44
"861","1972-05-10",31
"862","1972-05-11",25
"863","1972-05-12",42
"864","1972-05-13",40
"865","1972-05-14",45
"866","1972-05-15",45
"867","1972-05-16",30
"868","1972-05-17",45
"869","1972-05-18",27
"870","1972-05-19",34
"871","1972-05-20",53
"872","1972-05-21",33
"873","1972-05-22",32
"874","1972-05-23",45
"875","1972-05-24",28
"876","1972-05-25",47
"877","1972-05-26",33
"878","1972-05-27",38
"879","1972-05-28",37
"880","1972-05-29",40
"881","1972-05-30",39
"882","1972-05-31",32
"883","1972-06-01",46
"884","1972-06-02",25
"885","1972-06-03",33
"886","1972-06-04",30
"887","1972-06-05",31
"888","1972-06-06",49
"889","1972-06-07",38
"890","1972-06-08",40
"891","1972-06-09",44
"892","1972-06-10",28
"893","1972-06-11",39
"894","1972-06-12",28
"895","1972-06-13",46
"896","1972-06-14",43
"897","1972-06-15",35
"898","1972-06-16",27
"899","1972-06-17",39
"900","1972-06-18",43
"901","1972-06-19",29
"902","1972-06-20",40
"903","1972-06-21",45
"904","1972-06-22",36
"905","1972-06-23",36
"906","1972-06-24",39
"907","1972-06-25",45
"908","1972-06-26",43
"909","1972-06-27",36
"910","1972-06-28",29
"911","1972-06-29",45
"912","1972-06-30",29
"913","1972-07-01",36
"914","1972-07-02",29
"915","1972-07-03",38
"916","1972-07-04",26
"917","1972-07-05",27
"918","1972-07-06",42
"919","1972-07-07",39
"920","1972-07-08",42
"921","1972-07-09",47
"922","1972-07-10",38
"923","1972-07-11",46
"924","1972-07-12",27
"925","1972-07-13",31
"926","1972-07-14",36
"927","1972-07-15",48
"928","1972-07-16",33
"929","1972-07-17",32
"930","1972-07-18",39
"931","1972-07-19",47
"932","1972-07-20",44
"933","1972-07-21",38
"934","1972-07-22",40
"935","1972-07-23",45
"936","1972-07-24",37
"937","1972-07-25",37
"938","1972-07-26",38
"939","1972-07-27",31
"940","1972-07-28",47
"941","1972-07-29",40
"942","1972-07-30",33
"943","1972-07-31",39
"944","1972-08-01",37
"945","1972-08-02",32
"946","1972-08-03",35
"947","1972-08-04",42
"948","1972-08-05",38
"949","1972-08-06",38
"950","1972-08-07",29
"951","1972-08-08",41
"952","1972-08-09",31
"953","1972-08-10",39
"954","1972-08-11",40
"955","1972-08-12",30
"956","1972-08-13",40
"957","1972-08-14",50
"958","1972-08-15",35
"959","1972-08-16",45
"960","1972-08-17",43
"961","1972-08-18",45
"962","1972-08-19",38
"963","1972-08-20",26
"964","1972-08-21",34
"965","1972-08-22",41
"966","1972-08-23",33
"967","1972-08-24",54
"968","1972-08-25",34
"969","1972-08-26",34
"970","1972-08-27",46
"971","1972-08-28",30
"972","1972-08-29",32
"973","1972-08-30",39
"974","1972-08-31",42
"975","1972-09-01",35
"976","1972-09-02",45
"977","1972-09-03",38
"978","1972-09-04",42
"979","1972-09-05",43
"980","1972-09-06",43
"981","1972-09-07",40
"982","1972-09-08",28
"983","1972-09-09",37
"984","1972-09-10",31
"985","1972-09-11",47
"986","1972-09-12",34
"987","1972-09-13",26
"988","1972-09-14",32
"989","1972-09-15",31
"990","1972-09-16",59
"991","1972-09-17",54
"992","1972-09-18",38
"993","1972-09-19",35
"994","1972-09-20",46
"995","1972-09-21",36
"996","1972-09-22",33
"997","1972-09-23",34
"998","1972-09-24",42
"999","1972-09-25",45
"1000","1972-09-26",42
"1001","1972-09-27",33
"1002","1972-09-28",30
"1003","1972-09-29",45
"1004","1972-09-30",33
"1005","1972-10-01",39
"1006","1972-10-02",33
"1007","1972-10-03",52
"1008","1972-10-04",43
"1009","1972-10-05",28
"1010","1972-10-06",33
"1011","1972-10-07",30
"1012","1972-10-08",41
"1013","1972-10-09",35
"1014","1972-10-10",40
"1015","1972-10-11",37
"1016","1972-10-12",30
"1017","1972-10-13",39
"1018","1972-10-14",33
"1019","1972-10-15",35
"1020","1972-10-16",40
"1021","1972-10-17",44
"1022","1972-10-18",40
"1023","1972-10-19",39
"1024","1972-10-20",43
"1025","1972-10-21",33
"1026","1972-10-22",43
"1027","1972-10-23",43
"1028","1972-10-24",29
"1029","1972-10-25",40
"1030","1972-10-26",37
"1031","1972-10-27",35
"1032","1972-10-28",33
"1033","1972-10-29",47
"1034","1972-10-30",28
"1035","1972-10-31",42
"1036","1972-11-01",43
"1037","1972-11-02",38
"1038","1972-11-03",50
"1039","1972-11-04",35
"1040","1972-11-05",33
"1041","1972-11-06",41
"1042","1972-11-07",38
"1043","1972-11-08",39
"1044","1972-11-09",40
"1045","1972-11-10",36
"1046","1972-11-11",44
"1047","1972-11-12",30
"1048","1972-11-13",34
"1049","1972-11-14",36
"1050","1972-11-15",35
"1051","1972-11-16",44
"1052","1972-11-17",41
"1053","1972-11-18",36
"1054","1972-11-19",36
"1055","1972-11-20",40
"1056","1972-11-21",39
"1057","1972-11-22",46
"1058","1972-11-23",31
"1059","1972-11-24",54
"1060","1972-11-25",47
"1061","1972-11-26",28
"1062","1972-11-27",44
"1063","1972-11-28",29
"1064","1972-11-29",29
"1065","1972-11-30",36
"1066","1972-12-01",34
"1067","1972-12-02",43
"1068","1972-12-03",47
"1069","1972-12-04",34
"1070","1972-12-05",41
"1071","1972-12-06",31
"1072","1972-12-07",31
"1073","1972-12-08",42
"1074","1972-12-09",44
"1075","1972-12-10",52
"1076","1972-12-11",41
"1077","1972-12-12",49
"1078","1972-12-13",40
"1079","1972-12-14",41
"1080","1972-12-15",45
"1081","1972-12-16",43
"1082","1972-12-17",36
"1083","1972-12-18",47
"1084","1972-12-19",31
"1085","1972-12-20",47
"1086","1972-12-21",47
"1087","1972-12-22",43
"1088","1972-12-23",33
"1089","1972-12-24",35
"1090","1972-12-25",43
"1091","1972-12-26",38
"1092","1972-12-27",39
"1093","1972-12-28",41
"1094","1972-12-29",34
"1095","1972-12-30",32
"1096","1972-12-31",36
"1097","1973-01-01",33
"1098","1973-01-02",37
"1099","1973-01-03",23
"1100","1973-01-04",39
"1101","1973-01-05",48
"1102","1973-01-06",42
"1103","1973-01-07",43
"1104","1973-01-08",33
"1105","1973-01-09",40
"1106","1973-01-10",42
"1107","1973-01-11",33
"1108","1973-01-12",32
"1109","1973-01-13",34
"1110","1973-01-14",33
"1111","1973-01-15",45
"1112","1973-01-16",36
"1113","1973-01-17",34
"1114","1973-01-18",28
"1115","1973-01-19",31
"1116","1973-01-20",35
"1117","1973-01-21",37
"1118","1973-01-22",48
"1119","1973-01-23",37
"1120","1973-01-24",31
"1121","1973-01-25",41
"1122","1973-01-26",49
"1123","1973-01-27",34
"1124","1973-01-28",34
"1125","1973-01-29",31
"1126","1973-01-30",45
"1127","1973-01-31",41
"1128","1973-02-01",34
"1129","1973-02-02",43
"1130","1973-02-03",37
"1131","1973-02-04",32
"1132","1973-02-05",41
"1133","1973-02-06",45
"1134","1973-02-07",32
"1135","1973-02-08",36
"1136","1973-02-09",38
"1137","1973-02-10",51
"1138","1973-02-11",40
"1139","1973-02-12",29
"1140","1973-02-13",38
"1141","1973-02-14",40
"1142","1973-02-15",40
"1143","1973-02-16",25
"1144","1973-02-17",33
"1145","1973-02-18",44
"1146","1973-02-19",26
"1147","1973-02-20",54
"1148","1973-02-21",38
"1149","1973-02-22",39
"1150","1973-02-23",42
"1151","1973-02-24",30
